Item,Category,Price,Supermarket RRP,RRP Difference,On Sale,Sale Note
Crisps,Snacks,0.35,,"=IF(OR(C2="" ,D2=""),"",ROUND(D2-C2,2))",No,
Dandies Marshmallows,Vegan,1.20,3.15,"=IF(OR(C3="" ,D3=""),"",ROUND(D3-C3,2))",No,
OMV Salted Caramel Fudge & Honeycomb Choc Slab,Vegan,1.50,2.50,"=IF(OR(C4="" ,D4=""),"",ROUND(D4-C4,2))",No,
Sweet Freedom Vegan Honeee,Vegan,1.50,3.30,"=IF(OR(C5="" ,D5=""),"",ROUND(D5-C5,2))",No,
Graze - Chilli & Lime,Snacks,1.50,2.50,"=IF(OR(C6="" ,D6=""),"",ROUND(D6-C6,2))",No,
Graze - Smokey BBQ Crunch,Snacks,1.50,2.50,"=IF(OR(C7="" ,D7=""),"",ROUND(D7-C7,2))",No,
Graze - Teriyaki,Snacks,1.50,2.50,"=IF(OR(C8="" ,D8=""),"",ROUND(D8-C8,2))",No,
Border Dark Chocolate Ginger Bar,Snacks,0.30,,"=IF(OR(C9="" ,D9=""),"",ROUND(D9-C9,2))",No,
Border Milk Chocolate Ginger Bar,Snacks,0.30,,"=IF(OR(C10="" ,D10=""),"",ROUND(D10-C10,2))",No,
Dairy Milk 110g,Chocolate,1.30,,"=IF(OR(C11="" ,D11=""),"",ROUND(D11-C11,2))",No,
Galaxy Hazelnut Praline DAIRY/GLUTEN FREE 100g,Vegan,1.00,,"=IF(OR(C12="" ,D12=""),"",ROUND(D12-C12,2))",No,
Rowntree Fruit Pastilles,Sweets,1.00,,"=IF(OR(C13="" ,D13=""),"",ROUND(D13-C13,2))",No,
Fruity Gems,Sweets,0.50,,"=IF(OR(C14="" ,D14=""),"",ROUND(D14-C14,2))",No,
Haribo Starmix,Sweets,1.20,,"=IF(OR(C15="" ,D15=""),"",ROUND(D15-C15,2))",No,
Mars Bar,Chocolate,0.60,,"=IF(OR(C16="" ,D16=""),"",ROUND(D16-C16,2))",No,
Dairy Milk 850g,Chocolate,10.00,,"=IF(OR(C17="" ,D17=""),"",ROUND(D17-C17,2))",No,
Caramel Nougat,Chocolate,0.40,,"=IF(OR(C18="" ,D18=""),"",ROUND(D18-C18,2))",No,
Peanut Nougat,Chocolate,0.40,,"=IF(OR(C19="" ,D19=""),"",ROUND(D19-C19,2))",No,
Lion Bar - White,Chocolate,0.55,,"=IF(OR(C20="" ,D20=""),"",ROUND(D20-C20,2))",No,
